;noun;n
336;plukovník;10575
337;konstruktér;10542
338;řezník;10440
339;australan;10336
340;sociální pracovník;10325
341;plzeňan;10299
342;kočí;10205
343;primát;10171
344;zabiják;10117
345;dán;10090
346;novinářka;10044
347;soudruh;10026
348;stavebník;10018
349;černoch;9866
350;milionář;9863
351;hongkong;9817
352;mládek;9649
353;konzument;9516
354;restaurátor;9511
355;severní korea;9494
356;učeň;9414
357;potápěč;9361
358;operační důstojník;9354
359;belgičan;9348
360;hříšník;9296
361;pekař;9274
362;gruzie;9209
363;sluha;9203
364;chile;9160
365;malta;9119
366;imigrant;9088
367;dobrodruh;9069
368;zpracovatel;9066
369;makléř;9026
370;němka;9024
371;jižní korea;9022
372;šlechtic;9011
373;aspirant;8978
374;mechanik;8858
375;statistik;8834
376;baron;8798
377;pražák;8796
378;profesorka;8768
379;zámečník;8768
380;vietnamec;8752
381;běženec;8726
382;trpaslík;8714
383;bavič;8679
384;magnát;8669
385;světec;8660
386;šampión;8658
387;policajt;8372
388;diabetik;8352
389;akademik;8322
390;kadet;8304
391;brácha;8200
392;řezbář;8157
393;estonsko;8145
394;obchodní ředitel;8145
395;baba;8122
396;sklář;8071
397;portugalec;8055
398;dispečer;8011
399;makedonie;7970
400;družka;7918
401;teoretik;7830
402;alkoholik;7817
403;ostravan;7789
404;rolník;7719
405;smrtelník;7715
406;chudák;7639
407;emigrant;7577
408;přemožitel;7533
409;ir;7431
410;suverén;7402
411;cikán;7301
412;zápasník;7281
413;sekretářka;7238
414;singapur;7227
415;tchaj-wan;7220
416;přívrženec;7144
417;policistka;7106
418;přeborník;7084
419;kolumbie;7071
420;ošetřovatel;7064
421;myslitel;7033
422;válečník;7023
423;výzkumník;6928
424;keňa;6910
425;idiot;6866
426;bába;6862
427;stařec;6731
428;signatář;6689
429;modelář;6684
430;invalida;6663
431;fin;6631
432;argentinec;6623
433;zprostředkovatel;6603
434;sbormistr;6578
435;psovod;6553
436;měšťan;6480
437;rumun;6475
438;choreograf;6417
439;bližní;6370
440;ruska;6354
441;lucembursko;6299
442;dědek;6280
443;separatista;6175
444;stařenka;6133
445;holanďan;6119
446;hlupák;6105
447;mužík;6101
448;venezuela;6093
449;krejčík;6092
450;oblíbenec;6058
451;podivín;6053
452;vetřelec;5996
453;zoolog;5906
454;účetní;5884
455;jižní afrika;5864
456;masér;5860
457;padouch;5858
458;babka;5853
459;nestraník;5833
460;pyrotechnik;5825
461;blbec;5815
462;ilustrátor;5786
463;sklenář;5708
464;truhlář;5678
465;fanatik;5622
466;mimoň;5567
467;kadeřník;5566
468;bojovnice;5561
469;našinec;5556
470;revizor;5541
471;francouzka;5485
472;kumpán;5477
473;polka;5467
474;slovinec;5444
475;chalupář;5419
476;vychovatel;5359
477;barman;5312
478;bulhar;5310
479;penzista;5280
480;smolař;5265
481;slovenka;5201
482;vedoucí pracovník;5139
483;kurd;5118
484;gangster;5114
485;reformátor;5111
486;děd;5091
487;vesničan;5045
488;kongo;4986
489;fyzioterapeut;4971
490;nešťastník;4963
491;cukrář;4921
492;starousedlík;4879
493;tlumočník;4836
494;mazák;4802
495;programátor;4790
496;ústečan;4782
497;statik;4678
498;ind;4629
499;personalista;4627
500;marod;4611
501;madona;4607
502;individuum;4557
503;peru;4541
504;italka;4527
505;afričan;4526
506;geolog;4525
507;chůva;4513
508;arménie;4481
509;hospodyně;4455
510;chmelař;4452
511;strojvedoucí;4429
512;uklízečka;4415
513;benjamínek;4405
